"pl_name,hostname,sys_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,st_spectype,st_rad,st_mass,sy_dist,disc_facility"
"Kepler-235 c,Kepler-235,Kepler-235,1,4,Transit,2014,0.065,1.28,2.18,0,M0 V,0.55,0.58,428.018,Kepler"
"Kepler-235 d,Kepler-235,Kepler-235,1,4,Transit,2014,0.122,2.05,4.86,0,M0 V,0.55,0.58,428.018,Kepler"
"Kepler-235 e,Kepler-235,Kepler-235,1,4,Transit,2014,0.213,2.22,5.56,0,M0 V,0.55,0.58,428.018,Kepler"
"Kepler-26 b,Kepler-26,Kepler-26,1,4,Transit,2011,0.08551,2.78,5.12,0,M0 V,0.51,0.54,335.307,Kepler"
"Kepler-26 c,Kepler-26,Kepler-26,1,4,Transit,2011,0.10725,2.72,6.2,0,M0 V,0.51,0.54,335.307,Kepler"
"Kepler-26 d,Kepler-26,Kepler-26,1,4,Transit,2014,0.039,1.07,1.24,0,M0 V,0.57,0.62,335.307,Kepler"
"Kepler-26 e,Kepler-26,Kepler-26,1,4,Transit,2014,0.22,2.41,6.39,0,M0 V,0.57,0.62,335.307,Kepler"
"Kepler-49 b,Kepler-49,Kepler-49,1,4,Transit,2012,0.05929,2.72,8,0,M1 V,0.53,0.55,311.222,Kepler"
"Kepler-49 c,Kepler-49,Kepler-49,1,4,Transit,2012,0.07821,2.55,5.9,0,M1 V,0.53,0.55,311.222,Kepler"
"Kepler-49 d,Kepler-49,Kepler-49,1,4,Transit,2014,0.031,1.6,3.19,0,M1 V,0.56,0.55,311.222,Kepler"
"Kepler-49 e,Kepler-49,Kepler-49,1,4,Transit,2014,0.116,1.56,3.05,0,M1 V,0.56,0.55,311.222,Kepler"
"L 98-59 b,L 98-59,L 98-59,1,4,Transit,2019,0.02191,0.85,0.4,0.103,M3 V,0.3,0.27,10.6194,Transiting Exoplanet Survey Satellite (TESS)"
"L 98-59 c,L 98-59,L 98-59,1,4,Transit,2019,0.0304,1.385,2.22,0.103,M3 V,0.3,0.27,10.6194,Transiting Exoplanet Survey Satellite (TESS)"
"L 98-59 d,L 98-59,L 98-59,1,4,Transit,2019,0.0486,1.521,1.94,0.074,M3 V,0.3,0.27,10.6194,Transiting Exoplanet Survey Satellite (TESS)"
"L 98-59 e,L 98-59,L 98-59,1,4,Radial Velocity,2021,0.0717,1.56,3.06,0.128,M3 V,0.3,0.27,10.6194,Multiple Observatories"
"TOI-500 b,TOI-500,TOI-500,1,4,Transit,2022,0.01189,1.166,1.42,0.063,K6 V,0.68,0.74,47.3924,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-700 b,TOI-700,TOI-700,1,4,Transit,2020,0.0677,0.914,0.704,0.075,M2.5 V,0.42,0.42,31.1265,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-700 c,TOI-700,TOI-700,1,4,Transit,2020,0.0929,2.6,7.27,0.068,M2.5 V,0.42,0.42,31.1265,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-700 d,TOI-700,TOI-700,1,4,Transit,2020,0.1633,1.073,1.25,0.042,M2.5 V,0.42,0.42,31.1265,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-700 e,TOI-700,TOI-700,1,4,Transit,2023,0.134,0.953,0.818,0.059,M2.5 V,0.42,0.42,31.1265,Transiting Exoplanet Survey Satellite (TESS)"
"V1298 Tau b,V1298 Tau,V1298 Tau,1,4,Transit,2019,0.1688,10.27,74.9,0.29,K0,1.34,1.1,108.199,K2"
"V1298 Tau c,V1298 Tau,V1298 Tau,1,4,Transit,2019,0.0825,5.59,26.7,0.43,K0,1.34,1.1,108.199,K2"
"V1298 Tau d,V1298 Tau,V1298 Tau,1,4,Transit,2019,0.1083,6.41,33.6,0.21,K0,1.34,1.1,108.199,K2"
"V1298 Tau e,V1298 Tau,V1298 Tau,1,4,Transit,2019,0.308,8.74,57,0.57,K0,1.34,1.1,108.199,K2"
"tau Cet e,tau Cet,tau Cet,1,4,Radial Velocity,2017,0.538,1.81,3.93,0.18,G8.5V,0.83,0.78,3.60304,Multiple Observatories"
"tau Cet f,tau Cet,tau Cet,1,4,Radial Velocity,2017,1.334,1.81,3.93,0.16,G8.5V,0.83,0.78,3.60304,Multiple Observatories"
"tau Cet g,tau Cet,tau Cet,1,4,Radial Velocity,2017,0.133,1.18,1.75,0.06,G8.5V,0.83,0.78,3.60304,Multiple Observatories"
"tau Cet h,tau Cet,tau Cet,1,4,Radial Velocity,2017,0.243,1.19,1.83,0.23,G8.5V,0.83,0.78,3.60304,Multiple Observatories"
"47 UMa b,47 UMa,47 UMa,1,3,Radial Velocity,1996,2.1,13.2,804.08,0.032,G0 V,1.21,1.06,13.7967,Lick Observatory"
"47 UMa c,47 UMa,47 UMa,1,3,Radial Velocity,2001,3.6,14.2,171.621,0.098,G1 V,1.21,1.06,13.7967,Lick Observatory"
"47 UMa d,47 UMa,47 UMa,1,3,Radial Velocity,2009,11.6,13.5,521.22,0.16,G0V,1.21,1.06,13.7967,Lick Observatory"
"61 Vir b,61 Vir,61 Vir,1,3,Radial Velocity,2009,0.050201,2.11,5.1,0.12,G5 V,0.96,0.94,8.50332,Multiple Observatories"
"61 Vir c,61 Vir,61 Vir,1,3,Radial Velocity,2009,0.2175,4.46,18.2,0.14,G5 V,0.96,0.94,8.50332,Multiple Observatories"
"61 Vir d,61 Vir,61 Vir,1,3,Radial Velocity,2009,0.476,5.11,22.9,0.35,G5 V,0.96,0.94,8.50332,Multiple Observatories"
"CoRoT-7 b,CoRoT-7,CoRoT-7,1,3,Transit,2009,0.017016,1.681,4.07661,0,G9 V,0.83,0.82,159.906,CoRoT"
"CoRoT-7 c,CoRoT-7,CoRoT-7,1,3,Radial Velocity,2009,0.046,2.83,8.4,0,G9 V,0.86,0.9,159.906,CoRoT"
"EPIC 249893012 b,EPIC 249893012,EPIC 249893012,1,3,Transit,2020,0.047,1.95,8.75,0.06,G8 IV/V,1.71,1.05,321.296,K2"
"EPIC 249893012 c,EPIC 249893012,EPIC 249893012,1,3,Transit,2020,0.13,3.67,14.67,0.07,G8 IV/V,1.71,1.05,321.296,K2"
"EPIC 249893012 d,EPIC 249893012,EPIC 249893012,1,3,Transit,2020,0.22,3.94,10.18,0.15,G8 IV/V,1.71,1.05,321.296,K2"
"GJ 1061 b,GJ 1061,GJ 1061,1,3,Radial Velocity,2020,0.021,1.1,1.37,0.31,M5.5 V,0.16,0.12,3.67278,La Silla Observatory"
"GJ 1061 c,GJ 1061,GJ 1061,1,3,Radial Velocity,2020,0.035,1.18,1.74,0.29,M5.5 V,0.16,0.12,3.67278,La Silla Observatory"
"GJ 1061 d,GJ 1061,GJ 1061,1,3,Radial Velocity,2020,0.054,1.16,1.64,0.53,M5.5 V,0.16,0.12,3.67278,La Silla Observatory"
"GJ 163 b,GJ 163,GJ 163,1,3,Radial Velocity,2013,0.0607,3.25,10.6,0.073,M,0.41,0.4,15.1285,La Silla Observatory"
"GJ 163 c,GJ 163,GJ 163,1,3,Radial Velocity,2013,0.1254,2.5,6.8,0.099,M,0.41,0.4,15.1285,La Silla Observatory"
"GJ 163 d,GJ 163,GJ 163,1,3,Radial Velocity,2013,1.0304,5.92,29.4,0.373,M,0.41,0.4,15.1285,La Silla Observatory"
"GJ 180 b,GJ 180,GJ 180,1,3,Radial Velocity,2014,0.092,2.43,6.49,0.07,M2 V,0.41,0.43,11.9407,Multiple Observatories"
"GJ 180 c,GJ 180,GJ 180,1,3,Radial Velocity,2014,0.129,2.41,6.4,0.09,M2 V,0.41,0.43,11.9407,Multiple Observatories"
"GJ 180 d,GJ 180,GJ 180,1,3,Radial Velocity,2020,0.309,2.66,7.56,0.14,M3,0.41,0.43,11.9407,Multiple Facilities"
"GJ 3138 b,GJ 3138,GJ 3138,1,3,Radial Velocity,2017,0.0197,1.18,1.78,0.19,M0,0.5,0.68,28.4712,La Silla Observatory"
"GJ 3138 c,GJ 3138,GJ 3138,1,3,Radial Velocity,2017,0.057,1.88,4.18,0.11,M0,0.5,0.68,28.4712,La Silla Observatory"
"GJ 3138 d,GJ 3138,GJ 3138,1,3,Radial Velocity,2017,0.698,3.23,10.5,0.32,M0,0.5,0.68,28.4712,La Silla Observatory"
"GJ 433 b,GJ 433,GJ 433,1,3,Radial Velocity,2011,0.062,2.33,6.043,0.04,M1.5 V,0.5,0.48,9.06456,La Silla Observatory"
"GJ 433 c,GJ 433,GJ 433,1,3,Radial Velocity,2014,4.819,6.27,32.422,0.12,M1.5 V,0.47,0.48,9.06456,Multiple Observatories"
"GJ 433 d,GJ 433,GJ 433,1,3,Radial Velocity,2020,0.178,2.14,5.223,0.07,M2V,0.47,0.48,9.06456,Multiple Facilities"
"GJ 581 b,GJ 581,GJ 581,1,3,Radial Velocity,2005,0.04061,4.11,15.8,0,M3 V,0.33,0.31,6.2981,La Silla Observatory"
"GJ 581 c,GJ 581,GJ 581,1,3,Radial Velocity,2007,0.0721,2.21,5.5,0,M3 V,0.33,0.31,6.2981,La Silla Observatory"
"GJ 581 e,GJ 581,GJ 581,1,3,Radial Velocity,2009,0.02815,1.17,1.7,0,M3 V,0.33,0.31,6.2981,La Silla Observatory"
"GJ 9827 b,GJ 9827,GJ 9827,1,3,Transit,2017,0.0188,1.577,4.91,0,K6 V,0.6,0.61,29.661,K2"
"GJ 9827 c,GJ 9827,GJ 9827,1,3,Transit,2017,0.03925,1.241,0.84,0,K6 V,0.6,0.61,29.661,K2"
"GJ 9827 d,GJ 9827,GJ 9827,1,3,Transit,2017,0.05591,2.022,4.04,0,K6 V,0.6,0.61,29.661,K2"
"HD 11506 b,HD 11506,HD 11506,1,3,Radial Velocity,2007,2.798425,12.8,1716.82279,0.390871,G0 V,1.24,1.12,51.261,W. M. Keck Observatory"
"HD 11506 c,HD 11506,HD 11506,1,3,Radial Velocity,2008,0.749283,13.3,115.84733,0.233121,G0 V,1.34,1.12,51.261,W. M. Keck Observatory"
"HD 11506 d,HD 11506,HD 11506,1,3,Radial Velocity,2022,12.245208,12.6,2446.83592,0.060812,G0 V,1.24,1.12,51.261,Multiple Observatories"
"HD 136352 b,HD 136352,HD 136352,1,3,Radial Velocity,2019,0.0964,1.664,4.72,0,G4 V,1.06,0.87,14.682,La Silla Observatory"
"HD 136352 c,HD 136352,HD 136352,1,3,Radial Velocity,2019,0.1721,2.916,11.24,0,G4 V,1.06,0.87,14.682,La Silla Observatory"
"HD 136352 d,HD 136352,HD 136352,1,3,Radial Velocity,2019,0.425,2.562,8.82,0,G4 V,1.06,0.87,14.682,La Silla Observatory"
"HD 153557 b,HD 153557,HD 153557,1,3,Radial Velocity,2022,0.068049,4.73,20.05856,0.065355,K0,0.75,0.79,17.9412,Multiple Observatories"
"HD 153557 c,HD 153557,HD 153557,1,3,Radial Velocity,2022,0.111312,4.33,17.30766,0.511322,K0,0.75,0.79,17.9412,Multiple Observatories"
"HD 153557 d,HD 153557,HD 153557,1,3,Radial Velocity,2022,21.349779,11.9,8680.48112,0.151517,K0,0.75,0.79,17.9412,Multiple Observatories"
"HD 181433 b,HD 181433,HD 181433,1,3,Radial Velocity,2008,0.08,2.4,6.3566,0.4,K3 IV,0.79,0.63,26.8762,La Silla Observatory"
"HD 181433 c,HD 181433,HD 181433,1,3,Radial Velocity,2008,1.76,14.1,203,0.28,K3 IV,0.81,0.78,26.8762,La Silla Observatory"
"HD 181433 d,HD 181433,HD 181433,1,3,Radial Velocity,2008,3,14.2,171,0.48,K3 IV,0.81,0.78,26.8762,La Silla Observatory"
"HD 184010 b,HD 184010,HD 184010,1,3,Radial Velocity,2022,0.94,12.1,98.52681,0,K0 III-IV,4.86,1.35,60.7993,Okayama Astrophysical Observatory"
"HD 184010 c,HD 184010,HD 184010,1,3,Radial Velocity,2022,1.334,11.8,95.34852,0,K0 III-IV,4.86,1.35,60.7993,Okayama Astrophysical Observatory"
"HD 184010 d,HD 184010,HD 184010,1,3,Radial Velocity,2022,1.92,14.3,143.02278,0,K0 III-IV,4.86,1.35,60.7993,Okayama Astrophysical Observatory"
"HD 204313 b,HD 204313,HD 204313,1,3,Radial Velocity,2010,3.183074,12.9,1553.54852,0.099741,G5 V,1.1,1.03,47.7945,La Silla Observatory"
"HD 204313 c,HD 204313,HD 204313,1,3,Radial Velocity,2015,0.211213,4.32,17.20043,0.059476,G5 V,1.13,1.03,47.7945,La Silla Observatory"
"HD 204313 e,HD 204313,HD 204313,1,3,Radial Velocity,2022,7.444845,12.2,4841.00771,0.253187,G5 V,1.13,1.03,47.7945,Multiple Observatories"
"HD 27894 b,HD 27894,HD 27894,1,3,Radial Velocity,2005,0.125367,14.1,196.85951,0.046978,K2 V,0.89,0.81,43.8214,La Silla Observatory"
"HD 27894 c,HD 27894,HD 27894,1,3,Radial Velocity,2017,0.198,8.24,51.48846,0.015,K2 V,0.89,0.8,43.8214,La Silla Observatory"
"HD 27894 d,HD 27894,HD 27894,1,3,Radial Velocity,2017,5.359964,12.7,2155.40718,0.342834,K2 V,0.89,0.81,43.8214,La Silla Observatory"
"HD 28109 b,HD 28109,HD 28109,1,3,Transit,2022,0.1357,2.199,18.496,0.3307,F8/G0 V,1.45,1.26,139.611,Transiting Exoplanet Survey Satellite (TESS)"
"HD 28109 c,HD 28109,HD 28109,1,3,Transit,2022,0.308,4.23,7.943,0.1203,F8/G0 V,1.45,1.26,139.611,Transiting Exoplanet Survey Satellite (TESS)"
"HD 28109 d,HD 28109,HD 28109,1,3,Transit,2022,0.411,3.25,5.681,0.0864,F8/G0 V,1.45,1.26,139.611,Transiting Exoplanet Survey Satellite (TESS)"
"HD 31527 b,HD 31527,HD 31527,1,3,Radial Velocity,2019,0.1254,3.22,10.47,0.1,G2 V,1.07,0.96,38.4473,La Silla Observatory"
"HD 31527 c,HD 31527,HD 31527,1,3,Radial Velocity,2019,0.2663,3.85,14.16,0.04,G2 V,1.07,0.96,38.4473,La Silla Observatory"
"HD 31527 d,HD 31527,HD 31527,1,3,Radial Velocity,2019,0.8098,3.46,11.82,0.24,G2 V,1.07,0.96,38.4473,La Silla Observatory"
"HD 33142 b,HD 33142,HD 33142,1,3,Radial Velocity,2011,1.074,13.7,400.46379,0.049,K0 III,4.17,1.52,121.375,W. M. Keck Observatory"
"HD 33142 c,HD 33142,HD 33142,1,3,Radial Velocity,2018,1.955,13.9,282.86728,0.081,K0 III,4.17,1.52,121.375,W. M. Keck Observatory"
"HD 33142 d,HD 33142,HD 33142,1,3,Radial Velocity,2022,0.452,9.32,63.56568,0.191,K0 III,4.17,1.52,121.375,Multiple Observatories"
"HD 37124 b,HD 37124,HD 37124,1,3,Radial Velocity,2002,0.53364,14,214.53525,0.054,G4 V,0.95,0.85,31.6634,W. M. Keck Observatory"
"HD 37124 c,HD 37124,HD 37124,1,3,Radial Velocity,2002,1.71,14.1,207.22516,0.125,G4 V,0.95,0.85,31.6634,W. M. Keck Observatory"
"HD 37124 d,HD 37124,HD 37124,1,3,Radial Velocity,2005,2.807,14,221.20968,0.16,G4 V,0.95,0.85,31.6634,W. M. Keck Observatory"
"HD 39091 b,HD 39091,HD 39091,1,3,Radial Velocity,2001,3.309065,12.4,3889.98524,0.642306,G0 V,1.19,1.1,18.2702,Anglo-Australian Telescope"
"HD 39194 b,HD 39194,HD 39194,1,3,Radial Velocity,2021,0.056,1.83,4,0.207,K0 V,0.78,0.67,26.4131,La Silla Observatory"
"HD 39194 c,HD 39194,HD 39194,1,3,Radial Velocity,2021,0.103,2.39,6.3,0.154,K0 V,0.78,0.67,26.4131,La Silla Observatory"
"HD 39194 d,HD 39194,HD 39194,1,3,Radial Velocity,2021,0.185,1.83,4,0.333,K0 V,0.78,0.67,26.4131,La Silla Observatory"
"HD 69830 b,HD 69830,HD 69830,1,3,Radial Velocity,2006,0.0785,3.17,10.2,0.1,K0V,0.89,0.86,12.5591,La Silla Observatory"
"HD 69830 c,HD 69830,HD 69830,1,3,Radial Velocity,2006,0.186,3.46,11.8,0.13,K0V,0.89,0.86,12.5591,La Silla Observatory"
"HD 69830 d,HD 69830,HD 69830,1,3,Radial Velocity,2006,0.63,4.45,18.1,0.07,K0V,0.89,0.86,12.5591,La Silla Observatory"
"HD 7924 b,HD 7924,HD 7924,1,3,Radial Velocity,2008,0.06,2.4,6.3566,0.06,K0.5 V,0.78,0.65,16.9922,W. M. Keck Observatory"
"HD 7924 c,HD 7924,HD 7924,1,3,Radial Velocity,2015,0.1134,2.72,7.86,0.098,K0.5 V,0.78,0.83,16.9922,W. M. Keck Observatory"
"HD 7924 d,HD 7924,HD 7924,1,3,Radial Velocity,2015,0.1551,2.42,6.44,0.21,K0.5 V,0.78,0.83,16.9922,W. M. Keck Observatory"
"HD 93385 b,HD 93385,HD 93385,1,3,Radial Velocity,2021,0.0756,1.88,4.2,0.295,G2/G3 V,1.18,1.04,43.3475,La Silla Observatory"
"HD 93385 c,HD 93385,HD 93385,1,3,Radial Velocity,2021,0.112,2.56,7.1,0.2,G2/G3 V,1.18,1.04,43.3475,La Silla Observatory"
"HD 93385 d,HD 93385,HD 93385,1,3,Radial Velocity,2021,0.2565,2.89,8.7,0.09,G2/G3 V,1.18,1.04,43.3475,La Silla Observatory"
"HD 96700 b,HD 96700,HD 96700,1,3,Radial Velocity,2021,0.0777,2.93,8.9,0.138,G0 V,1.16,0.89,25.4111,La Silla Observatory"
"HD 96700 c,HD 96700,HD 96700,1,3,Radial Velocity,2021,0.141,1.69,3.5,0.293,G0 V,1.16,0.89,25.4111,La Silla Observatory"
"HD 96700 d,HD 96700,HD 96700,1,3,Radial Velocity,2021,0.424,3.61,12.7,0.27,G0 V,1.16,0.89,25.4111,La Silla Observatory"
"HIP 14810 b,HIP 14810,HIP 14810,1,3,Radial Velocity,2005,0.0696,13,1239.537,0.14399,G5,1.07,1.01,50.48,W. M. Keck Observatory"
"HIP 14810 c,HIP 14810,HIP 14810,1,3,Radial Velocity,2006,0.549,13.6,416.3573,0.1566,G5,1.07,1.01,50.48,W. M. Keck Observatory"
"HIP 14810 d,HIP 14810,HIP 14810,1,3,Radial Velocity,2009,1.94,14.1,187.5197,0.185,G5,1.07,1.01,50.48,W. M. Keck Observatory"
"HIP 57274 b,HIP 57274,HIP 57274,1,3,Radial Velocity,2011,0.07,2.4,6.3566,0.19,K4 V,0.78,0.29,25.8618,W. M. Keck Observatory"
"HIP 57274 c,HIP 57274,HIP 57274,1,3,Radial Velocity,2011,0.178,14.2,130,0.05,K4 V,0.68,0.73,25.8618,W. M. Keck Observatory"
"HIP 57274 d,HIP 57274,HIP 57274,1,3,Radial Velocity,2011,1.01,14.2,167.4,0.27,K4 V,0.68,0.73,25.8618,W. M. Keck Observatory"
"K2-19 b,K2-19,K2-19,1,3,Transit,2015,0.074,7,32.4,0.2,G9 V,0.82,0.88,289.827,K2"
"K2-19 c,K2-19,K2-19,1,3,Transit,2015,0.0971,4.1,10.8,0.21,G9 V,0.82,0.88,289.827,K2"
"K2-19 d,K2-19,K2-19,1,3,Transit,2016,0.0344,1.11,10,0,G9 V,0.82,0.88,289.827,K2"
"K2-233 b,K2-233,K2-233,1,3,Transit,2018,0.03308,1.343,11.26,0.079,K3,0.71,0.79,67.5062,K2"
"K2-233 c,K2-233,K2-233,1,3,Transit,2018,0.06666,1.281,12.81,0.2002,K3,0.71,0.79,67.5062,K2"
"K2-233 d,K2-233,K2-233,1,3,Transit,2018,0.15224,2.358,21.14,0.1999,K3,0.71,0.79,67.5062,K2"
"K2-3 b,K2-3,K2-3,1,3,Transit,2015,0.074,1.98,6.48,0,M0.0&plusmn0.5 V,0.56,0.6,44.0727,K2"
"K2-3 c,K2-3,K2-3,1,3,Transit,2015,0.1345,1.56,2.14,0,M0.0&plusmn0.5 V,0.56,0.6,44.0727,K2"
"K2-3 d,K2-3,K2-3,1,3,Transit,2015,0.2097,1.53,2.80007,0,M0.0&plusmn0.5 V,0.56,0.6,44.0727,K2"
"KOI-142 b,KOI-142,KOI-142,1,3,Transit,2013,0.098,3.438,9.5,0.05561,G6 V,0.9,0.99,376.863,Kepler"
"KOI-142 c,KOI-142,KOI-142,1,3,Transit,2013,0.15525,14,214.1,0.05724,G6 V,0.9,0.99,376.863,Kepler"
"Kepler-114 b,Kepler-114,Kepler-114,1,3,Transit,2014,0.053,1.26,6.8,0,M0 V,0.67,0.77,259.533,Kepler"
"Kepler-114 c,Kepler-114,Kepler-114,1,3,Transit,2013,0.06482,1.6,2.8,0,M0 V,0.54,0.56,259.533,Kepler"
"Kepler-114 d,Kepler-114,Kepler-114,1,3,Transit,2013,0.08358,2.53,3.9,0,M0 V,0.54,0.56,259.533,Kepler"
"Kepler-129 b,Kepler-129,Kepler-129,1,3,Transit,2014,0.13,2.4,20,0.01,G4 V,1.65,1.18,408.845,Kepler"
"Kepler-129 c,Kepler-129,Kepler-129,1,3,Transit,2014,0.39,2.52,43,0.2,G4 V,1.65,1.18,408.845,Kepler"
"Kepler-129 d,Kepler-129,Kepler-129,1,3,Radial Velocity,2021,4,12.6,2637.97578,0.15,G4 V,1.65,1.18,408.845,W. M. Keck Observatory"
"Kepler-249 b,Kepler-249,Kepler-249,1,3,Transit,2014,0.035,1.09,1.32,0,M2 V,0.48,0.51,190.401,Kepler"
"Kepler-249 c,Kepler-249,Kepler-249,1,3,Transit,2014,0.058,1.51,2.89,0,M2 V,0.48,0.51,190.401,Kepler"
"Kepler-249 d,Kepler-249,Kepler-249,1,3,Transit,2014,0.097,1.57,3.09,0,M2 V,0.48,0.51,190.401,Kepler"
"Kepler-267 b,Kepler-267,Kepler-267,1,3,Transit,2014,0.037,1.98,37.9,0,M1 V,0.56,0.54,264.993,Kepler"
"Kepler-267 c,Kepler-267,Kepler-267,1,3,Transit,2014,0.06,2.13,5.18,0,M1 V,0.56,0.54,264.993,Kepler"
"Kepler-267 d,Kepler-267,Kepler-267,1,3,Transit,2014,0.154,2.27,5.77,0,M1 V,0.56,0.54,264.993,Kepler"
"Kepler-42 b,Kepler-42,Kepler-42,1,3,Transit,2011,0.0116,0.78,0.399,0.04,M,0.17,0.13,40.0595,Kepler"
"Kepler-42 c,Kepler-42,Kepler-42,1,3,Transit,2011,0.006,0.73,0.315,0,M,0.17,0.13,40.0595,Kepler"
"Kepler-42 d,Kepler-42,Kepler-42,1,3,Transit,2011,0.0154,0.57,0.13,0.02,M,0.17,0.13,40.0595,Kepler"
"Kepler-445 b,Kepler-445,Kepler-445,1,3,Transit,2015,0.0217,1.58,3.12,0,M4,0.21,0.18,127.201,Kepler"
"Kepler-445 c,Kepler-445,Kepler-445,1,3,Transit,2015,0.0301,2.51,6.85,0,M4,0.21,0.18,127.201,Kepler"
"Kepler-445 d,Kepler-445,Kepler-445,1,3,Transit,2015,0.0439,1.25,2.1,0,M4,0.21,0.18,127.201,Kepler"
"Kepler-446 b,Kepler-446,Kepler-446,1,3,Transit,2015,0.0182,1.5,2.86,0,M4,0.24,0.22,96.339,Kepler"
"Kepler-446 c,Kepler-446,Kepler-446,1,3,Transit,2015,0.0283,1.11,1.41,0,M4,0.24,0.22,96.339,Kepler"
"Kepler-446 d,Kepler-446,Kepler-446,1,3,Transit,2015,0.0403,1.35,2.39,0,M4,0.24,0.22,96.339,Kepler"
"Kepler-52 b,Kepler-52,Kepler-52,1,3,Transit,2012,0.0637,2.1,135,0,M0 V,0.52,0.54,321.542,Kepler"
"Kepler-52 c,Kepler-52,Kepler-52,1,3,Transit,2012,0.10379,1.84,45.4,0,M0 V,0.52,0.54,321.542,Kepler"
"Kepler-52 d,Kepler-52,Kepler-52,1,3,Transit,2014,0.182,1.95,4.46,0,M0 V,0.56,0.58,321.542,Kepler"
"Kepler-54 b,Kepler-54,Kepler-54,1,3,Transit,2012,0.0619,2.1,21.5,0,M1 V,0.5,0.51,271.701,Kepler"
"Kepler-54 c,Kepler-54,Kepler-54,1,3,Transit,2012,0.0809,1.23,19.8,0,M1 V,0.5,0.51,271.701,Kepler"
"Kepler-54 d,Kepler-54,Kepler-54,1,3,Transit,2014,0.126,1.53,2.96,0,M1 V,0.55,0.52,271.701,Kepler"
"Kepler-81 b,Kepler-81,Kepler-81,1,3,Transit,2012,0.0522,2.42,17.2,0,M0 V,0.59,0.64,348.291,Kepler"
"Kepler-81 c,Kepler-81,Kepler-81,1,3,Transit,2012,0.08347,2.37,4.3,0,M0 V,0.59,0.64,348.291,Kepler"
"Kepler-81 d,Kepler-81,Kepler-81,1,3,Transit,2014,0.128,1.21,1.92,0,M0 V,0.59,0.65,348.291,Kepler"
"TOI-125 b,TOI-125,TOI-125,1,3,Transit,2019,0.05186,2.726,9.5,0.194,K0 V,0.85,0.86,111.059,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-125 c,TOI-125,TOI-125,1,3,Transit,2019,0.0814,2.759,6.63,0.066,K0 V,0.85,0.86,111.059,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-125 d,TOI-125,TOI-125,1,3,Transit,2020,0.137,2.93,13.6,0.168,K0 V,0.85,0.86,111.059,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1260 b,TOI-1260,TOI-1260,1,3,Transit,2021,0.0367,2.41,8.56,0,K6 V,0.67,0.68,73.5977,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1260 c,TOI-1260,TOI-1260,1,3,Transit,2021,0.0657,2.76,13.2,0,K6 V,0.67,0.68,73.5977,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1260 d,TOI-1260,TOI-1260,1,3,Transit,2022,0.1116,3.12,11.84,0,K6 V,0.67,0.68,73.5977,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1749 b,TOI-1749,TOI-1749,1,3,Transit,2021,0.0291,1.39,57,0.14,M0 V,0.55,0.58,99.5561,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1749 c,TOI-1749,TOI-1749,1,3,Transit,2021,0.0443,2.12,14,0.019,M0 V,0.55,0.58,99.5561,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1749 d,TOI-1749,TOI-1749,1,3,Transit,2021,0.0707,2.52,15,0.062,M0 V,0.55,0.58,99.5561,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-270 b,TOI-270,TOI-270,1,3,Transit,2019,0.03197,1.206,1.58,0.034,M,0.38,0.39,22.4793,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-270 c,TOI-270,TOI-270,1,3,Transit,2019,0.04526,2.355,6.15,0.027,M,0.38,0.39,22.4793,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-270 d,TOI-270,TOI-270,1,3,Transit,2019,0.0721,2.133,4.78,0.032,M,0.38,0.39,22.4793,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-712 b,TOI-712,TOI-712,1,3,Transit,2022,0.07928,2.049,4.85,0.54,K4.5 V,0.67,0.73,58.6212,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-712 c,TOI-712,TOI-712,1,3,Transit,2022,0.2447,2.701,7.76,0.089,K4.5 V,0.67,0.73,58.6212,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-712 d,TOI-712,TOI-712,1,3,Transit,2022,0.3405,2.474,6.68,0.073,K4.5 V,0.67,0.73,58.6212,Transiting Exoplanet Survey Satellite (TESS)"
"Wolf 1061 b,Wolf 1061,Wolf 1061,1,3,Radial Velocity,2015,0.0375,1.21,1.91,0.15,M3.5,0.31,0.29,4.30592,La Silla Observatory"
"Wolf 1061 c,Wolf 1061,Wolf 1061,1,3,Radial Velocity,2015,0.089,1.66,3.41,0.11,M3.5,0.31,0.29,4.30592,La Silla Observatory"
"Wolf 1061 d,Wolf 1061,Wolf 1061,1,3,Radial Velocity,2015,0.47,2.69,7.7,0.55,M3.5,0.31,0.29,4.30592,La Silla Observatory"
